"","state","nCFR","cCFR","total_deaths","cum_known_t","total_cases","nCFR_UQ","nCFR_LQ","cCFR_UQ","cCFR_LQ","underreporting_estimate","lower","upper","quantile25","quantile75","bottom","top","underreporting_estimate_clean"
"24","New York",0.010736784022807,0.0731360582147025,2802,38312,260972,0.0111395880175399,0.0103449019041428,0.0757889857882419,0.0705486427954529,0.19,0.16,0.22,0.0722332757989668,0.0740537662763754,0.18,0.19,"19% (16% - 22%)"
"25","Ohio",0.0148828372387587,0.0985355380614871,94,954,6316,0.0181824231530588,0.0120431468436714,0.119226489045878,0.0803587587901272,0.14,0.1,0.19,0.0917829071590222,0.105848714175416,0.12,0.15,"14% (10% - 19%)"
"26","Oklahoma",0.0282485875706215,0.196655331661213,45,229,1593,0.0376176832085843,0.0206777045376333,0.253960665022374,0.147093093422539,0.07,0.048,0.1,0.177551682194707,0.217295458995507,0.06,0.079,"7% (4.8% - 10%)"
"27","Oregon",0.0295495495495495,0.127897224674511,82,641,2775,0.0365474038102898,0.0235691118603609,0.156284061897958,0.103050393310849,0.11,0.079,0.15,0.118640687661819,0.137994755063006,0.094,0.12,"11% (7.9% - 15%)"
"28","Pennsylvania",0.00940884075980827,0.0681150617247764,106,1556,11266,0.0113684895152654,0.00770943398083241,0.0817982342426982,0.0561075568400553,0.2,0.15,0.27,0.0636789047256555,0.0729401539485761,0.18,0.22,"20% (15% - 27%)"
"29","South Carolina",0.0194860208980514,0.106651013170538,69,647,3541,0.02459680784664,0.0151921280348188,0.133023153242033,0.0839287476451112,0.13,0.092,0.18,0.0981014088545313,0.11601693536197,0.11,0.14,"13% (9.2% - 18%)"
"30","South Dakota",0.0458937198067633,0.181555059168388,19,105,414,0.0707429803772681,0.027853826329401,0.268067029939693,0.112605048603604,0.076,0.046,0.14,0.153112719670481,0.213168853966448,0.061,0.091,"7.6% (4.6% - 14%)"
"31","Tennessee",0.00377248984329658,0.0223449819694392,26,1164,6892,0.00552271952964154,0.00246575067792305,0.0325581754103663,0.0146417731189759,0.62,0.38,1,0.0192688370940027,0.0259826684260336,0.5,0.73,"62% (38% - 100%)"
"32","Texas",0.0115711444585066,0.0624855107236797,128,2048,11062,0.0137430526363639,0.00966237988681414,0.0738686780915491,0.0524046918386977,0.22,0.17,0.29,0.0587898568798815,0.0664953229331467,0.2,0.24,"22% (17% - 29%)"
"33","Vermont",0.0525328330206379,0.318743542627149,56,176,1066,0.0676791651018028,0.0399233506951946,0.392478990129876,0.250131914123329,0.043,0.031,0.061,0.292427190469085,0.345361956966985,0.038,0.048,"4.3% (3.1% - 6.1%)"
"34","Virginia",0.0227689086626538,0.123917249487451,87,702,3821,0.0280104252243453,0.0182761873163004,0.150609161474856,0.100466589443976,0.11,0.082,0.15,0.115193678545617,0.13339292786897,0.097,0.12,"11% (8.2% - 15%)"
"35","Washington",0.0555393821769368,0.197777574693529,1717,8681,30915,0.0581506436095175,0.0530120361705028,0.206326006564679,0.189453856755712,0.07,0.06,0.081,0.194869626222158,0.200751877534382,0.065,0.072,"7% (6% - 8.1%)"
"36","Wisconsin",0.0129478538488826,0.0715480097690252,73,1020,5638,0.0162528038519216,0.0101624094594158,0.0891485142997965,0.0565146287635704,0.19,0.14,0.27,0.0659174140390139,0.07778912012527,0.17,0.21,"19% (14% - 27%)"
